N acidentes
58
60
64
60
60
49
54
43
47
58
38
63
68
57
48
50
45
44
42
47
48
40
36
44
44
46
37
42
45
32
41
34
40
35
36
39
45
35
45
44
18
21
29
22
37
40
29
38
34
37
40
31
43
32
38
31
42
31
45
28
38
32
48
40
36
35
52
30
30
29
42
32
45
38
47
41
40
19
41
48
53
47
35
40
54
51
44
39
32
35
34
42
44
42
42
51
52
53
55
39
42
41
55
40
39
37
45
58
48
36
53
52
53
62
50
57
50
57
44
54
66
55
48
47
51
43
