"x"
24
18
22
17
22
17
23
23
27
20
19
22
27
21
23
25
22
28
28
22
15
21
14
14
20
32
23
23
26
20
30
26
15
28
21
21
16
21
22
15
32
15
27
23
23
32
17
32
26
33
31
19
28
38
25
24
26
29
22
24
34
34
34
28
23
21
33
31
20
22
26
34
23
26
35
43
34
31
24
23
28
39
26
41
32
40
42
48
41
30
43
33
37
32
32
23
40
39
55
47
45
36
43
38
44
43
35
33
37
38
35
42
44
57
44
43
44
31
39
39
50
44
40
45
34
46
54
45
38
45
40
85
55
42
58
42
34
49
44
49
50
60
39
39
46
54
43
53
65
48
59
41
40
55
31
51
49
46
49
49
53
45
55
52
47
44
37
42
48
40
61
68
67
65
57
61
51
51
58
55
