RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MG;MS;GO;DF
258822;79434;528333;74493;1616524;89071;169456;689738;272628;959696;475334;421002;1177054;449320;323207;2091206;4327218;916695;3482597;11372078;2617083;1995312;2654190;470924;669071;1100654;557150
241735;74045;524542;74489;1535805,89;88130;155304;681792;273383;966140;476314;442275;1176098;433782;351789;2170708;4399954;1012049;3907727,76;11481676;2551652;2057739;2718925,32;486630;620241;1168506;563154
227284;71197;485964;66913;1455700;84111;147612;647871;250743;964966;459276;444521;1168420;384767;339156;2093444;4518655;965446;3752092;11507491;2678048;2171981;2808606;477913;634455;1245675;552325
239155;77868;517260;76879;1525908;79258;160019;686420;253029;901727;465932;449463;1174519;423939;345076;2196961;4218402;991973;3756338;11031343;2522808;2041595;2709913;473577;667184;1090490;525067
244492;76278;508045;72498;1456692;82070;166325;581368;251851;904228;454406;441425;1167695;427810;342466;2162632;4380238;945709;3460778;11270450;2565377;2036834;2628786;465487;665947;1128766;544580
237497;75588;509000;67748;1542671;80702;165223;519306;261748;944587;470344;430672;1207335;401446;322296;2139473;4225108;909766;3290389;10752490;2419476;1891662;2360078;423792;640772;1215590;547046
247049;79028;504937;65011;1510098;83404;177364;532190;267085;942599;460108;415013;1124703;401050;305600;2037708;4235156;875898;3124907;10386669;2390329;1860777;2312310;399567;655235;1195754;541127
244121;81487;530012;68151;1632317;85614;173944;527012;271404;910506;436790;405013;1052987;389205;294969;1983727;4149042;881198;3054740;10315312;2375698;1771310;2284965;394509;662006;1181027;526719
253165;86075;558743;68749,49;1626517;89464;183047;560779;277065;948245;440534;421397;1054592;383573;294801;2023532;4312261;892164;3158142;10584714;2425727;1876764;2326791;403744;687617;1243952;542474
271540;86776;571653;77951;1640731;94011;196310;572763;289127;939268;447152;435654;1080891;395306;303139;2006184;4341276;878520;3044798;10513696;2422457;1800934;2251019;441157;739574;1315161;559449
271482;87614;603861;87233;1696507;91642;195052;581229;293789;953910;461981;432781;1138722;421944;315159;2111837;4418747;936899;3297059;11042584;2462989;1847035;2226266;459752;745206;1395189;591717
259597;87573;538961;80000;1700974;101253;176935;570925;302313;984712;466736;439685;1126069;413527;313364;2110597;4459079;863046;3347013;11041426;2476280;1881123;2257880;466835;706245;1355222;586975
259960;90948;504238;77793;1741337;98688;177620;576143;301549;964838;477028;421635;1177088;434131;318940;2183096;4151840;862263;3330536;10886792;2452463;1810973;2312589;444863;692032;1222079;567368
235967;81614;509002;72056;1579814;90362;151612;528069;265941;954361;461199;430324;1129430;417484;324420;2028252;4220603;807264;3710227;10477738;2387931;1980442;2582524,71;448502;623514;1195816;547391
238026;81811;490478;75154;1546440,6;87321;163748;530313;241265;907792;439684;418811;1090350;392439;318336;1932274;4256144;893867;3513139;10736196;2560628;2081694;2721041;461606;656590;1170153;517258
249406;87472;504398;82976;1631299;89332;191801;551328;266071;959585;461166;441530;1175245;426875;331494;2164770;4210249;926756;3592502;10780606;2490118;2018153;2684026;468871;692957;1193278;545403
242966;84016;485366;77217;1541631;87704;179580;557051;259448;982875;463977;436467;1175146;380810;318932;2026626;4588316;900365;3655515;11310303;2605120;2111424;2553645;480899;709143;1305473;571009
240212;82771;485827;72127;1676341;90075;196896;564976;280490;1008021;461676;427548;1167156;414658;312118;2066960;4446062;857446;3359623;10579537;2462266;1933793;2435329;432614;661477;1241084;544939
235796;79148;489546;68918;1650975;90792;193368;563658;283536;1054048;455703;424316;1111509;379631;303511;2009293;4553209;754158;3034793;10231620;2360900;1865378;2373512;388727;651141;1236369;541398
239767;80623;511318;66868;1721086;92594;179014;560858;272627;1039477;455191;429311;1079770;394384;301680;1918982;4308540;758488;2952304;10296693;2370167;1887575;2377526;384434;660192;1246708;522116
257396;89210;499234;85129;1710911;94496;186587;568189;292150;1013589;462449;415382;1090379;402411;302970;1965478;4456406;746928;3108463;10309737;2371516;1888309;2329721;416066;702735;1248384;528651
245527;84364;507842;75916;1699939;100063;195715;615120;302995;1006298;471179;439668;1088805;403866;308145;1979321;4660463;797596;3167458;10572897;2380922;1892943;2299065;416888;689179;1284377;559520
252714;87535;516974;79271;1714123;98594;184697;585538;296038;991681;478086;436770;1147116;412677;309480;2010681;4534763;806660;3239285;10486686;2366779;1856306;2222574;435807;686412;1279722;546122
252896;88541;546929;79773;1684287;103208;184461;609230;318946;998315;486808;443648;1175461;420779;328619;2032507;4526009;792870;3251127;10687240;2484628;1918403;2279809;455027;668353;1242076;539409
244386;89900;443651;80079;1759151;94187;170591;589256;301204;997808;491418;445429;1204499;434492;323824;2067619;4315390;794011;3375549;10701418;2487249;1872287;2569556;456702;630587;1146074;547451
232895;86296;474520;72361,42;1635436,5;85547;165135;533851;279489;940311;473722;463290;1141779,27;427890;325357,4;2144914;4341337,88;873056,98;3766978,86;10697796,04;2511530,39;2097103;2672527,5;479900;629429,85;1227683,57;528043,2
223818;80142;440633;67873;1482671;77899;154680;508904;254283;898841,4;460762;414223;1124526;393159;311497;1965902;4404738;818405;3655216;10604427;2594732;2184253;2691432;468163;649047;1145865,51;517010
242060;85834;475312;77676;1616062;79091;178394;537996;265994;904027;475027;462961;1210223;454024;332430;2128930;4281843;910085;3856349;11119067;2656344;2273340;2847810;512707;707746;1183298,29;497132
