Date;Value;Intraday;Month;Day;Year
15/02/2004;206665;11;2;15;2004
27/02/2004;215140;60;2;27;2004
28/04/2004;255596;8;4;28;2004
07/05/2004;261964;5;5;7;2004
13/05/2004;264854;57;5;13;2004
10/07/2004;302333;14;7;10;2004
25/07/2004;312524;12;7;25;2004
07/08/2004;320532;5;8;7;2004
13/08/2004;324551;9;8;13;2004
23/08/2004;331191;1;8;23;2004
25/08/2004;333015;6;8;25;2004
01/09/2004;337911;60;9;1;2004
01/11/2004;384336;6;11;1;2004
08/11/2004;389614;7;11;8;2004
16/11/2004;396408;1;11;16;2004
18/11/2004;398159;15;11;18;2004
04/12/2004;414023;27;12;4;2004
01/01/2005;438533;25;1;1;2005
27/01/2005;458779;13;1;27;2005
10/02/2005;471659;18;2;10;2005
01/03/2005;486042;11;3;1;2005
13/03/2005;496881;4;3;13;2005
18/03/2005;500296;41;3;18;2005
29/04/2005;544514;50;4;29;2005
19/06/2005;600000;66;6;19;2005
25/08/2005;700000;17;8;25;2005
12/09/2005;726894;44;9;12;2005
27/10/2005;791967;14;10;27;2005
11/11/2005;815460;23;11;11;2005
05/12/2005;851295;14;12;5;2005
20/12/2005;874359;13;12;20;2005
03/01/2006;897700;12;1;3;2006
16/01/2006;921824;13;1;16;2006
30/01/2006;945642;14;1;30;2006
14/02/2006;971518;12;2;14;2006
27/02/2006;995933;1;2;27;2006
01/03/2006;1000000;15;3;1;2006
17/03/2006;1027914;6;3;17;2006
24/03/2006;1040919;33;3;24;2006
27/04/2006;1100000;14;4;27;2006
12/05/2006;1129680;23;5;12;2006
05/06/2006;1173156;13;6;5;2006
19/06/2006;1200000;14;6;19;2006
04/07/2006;1234741;32;7;4;2006
06/08/2006;1300000;8;8;6;2006
15/08/2006;1317963;10;8;15;2006
26/08/2006;1344771;26;8;26;2006
22/09/2006;1396727;12;9;22;2006
05/10/2006;1418517;15;10;5;2006
21/10/2006;1444717;17;10;21;2006
08/11/2006;1473418;15;11;8;2006
24/11/2006;1500000;24;11;24;2006
19/12/2006;1539908;35;12;19;2006
24/01/2007;1598645;14;1;24;2007
08/02/2007;1626802;5;2;8;2007
14/02/2007;1638583;20;2;14;2007
07/03/2007;1674588;14;3;7;2007
22/03/2007;1700000;24;3;22;2007
16/04/2007;1740243;14;4;16;2007
01/05/2007;1763270;14;5;1;2007
16/05/2007;1785384;8;5;16;2007
25/05/2007;1800000;7;5;25;2007
02/06/2007;1813007;7;6;2;2007
10/06/2007;1828002;12;6;10;2007
23/06/2007;1847297;18;6;23;2007
12/07/2007;1879826;9;7;12;2007
22/07/2007;1900000;9;7;22;2007
01/08/2007;1925624;7;8;1;2007
09/08/2007;1941186;18;8;9;2007
28/08/2007;1978895;7;8;28;2007
05/09/2007;1991220;3;9;5;2007
09/09/2007;2000000;26;9;9;2007
06/10/2007;2037246;13;10;6;2007
20/10/2007;2055408;25;10;20;2007
15/11/2007;2090929;11;11;15;2007
27/11/2007;2104052;10;11;27;2007
08/12/2007;2118053;7;12;8;2007
16/12/2007;2129551;26;12;16;2007
12/01/2008;2170716;17;1;12;2008
30/01/2008;2200000;7;1;30;2008
07/02/2008;2214256;15;2;7;2008
23/02/2008;2246333;13;2;23;2008
08/03/2008;2269796;12;3;8;2008
21/03/2008;2291433;15;3;21;2008
06/04/2008;2320245;23;4;6;2008
30/04/2008;2353068;12;4;30;2008
13/05/2008;2370238;6;5;13;2008
20/05/2008;2379635;14;5;20;2008
04/06/2008;2399617;16;6;4;2008
21/06/2008;2421535;10;6;21;2008
02/07/2008;2436830;12;7;2;2008
15/07/2008;2456599;14;7;15;2008
30/07/2008;2479280;11;7;30;2008
11/08/2008;2500000;4;8;11;2008
16/08/2008;2510197;28;8;16;2008
14/09/2008;2553609;17;9;14;2008
02/10/2008;2569004;17;10;2;2008
20/10/2008;2591574;14;10;20;2008
04/11/2008;2612599;16;11;4;2008
21/11/2008;2631334;18;11;21;2008
10/12/2008;2652896;21;12;10;2008
01/01/2009;2679785;30;1;1;2009
01/02/2009;2722366;15;2;1;2009
17/02/2009;2746003;17;2;17;2009
07/03/2009;2780320;40;3;7;2009
17/04/2009;2843391;84;4;17;2009
11/07/2009;2943644;19;7;11;2009
31/07/2009;2975970;16;7;31;2009
17/08/2009;3000000;8;8;17;2009
26/08/2009;3013053;16;8;26;2009
12/09/2009;3031291;32;9;12;2009
15/10/2009;3063124;38;10;15;2009
23/11/2009;3102627;19;11;23;2009
13/12/2009;3123353;130;12;13;2009
23/04/2010;3266245;23;4;23;2010
17/05/2010;3292706;79;5;17;2010
05/08/2010;3369561;9;8;5;2010
15/08/2010;3379047;118;8;15;2010
12/12/2010;3499170;21;12;12;2010
03/01/2011;3519837;20;1;3;2011
24/01/2011;3540209;21;1;24;2011
15/02/2011;3559253;43;2;15;2011
31/03/2011;3599159;78;3;31;2011
18/06/2011;3661385;2;6;18;2011
21/06/2011;3663629;46;6;21;2011
07/08/2011;3704299;85;8;7;2011
01/11/2011;3784306;152;11;1;2011
02/04/2012;3912036;27;4;2;2012
30/04/2012;3937038;40;4;30;2012
10/06/2012;3968543;6;6;10;2012
17/06/2012;3975795;12;6;17;2012
30/06/2012;3986591;6;6;30;2012
07/07/2012;3993535;4;7;7;2012
12/07/2012;4000109;6;7;12;2012
19/07/2012;4004895;7;7;19;2012
27/07/2012;4011587;2;7;27;2012
30/07/2012;4014919;6;7;30;2012
06/08/2012;4021327;16;8;6;2012
23/08/2012;4034323;8;8;23;2012
01/09/2012;4042592;15;9;1;2012
17/09/2012;4055005;6;9;17;2012
24/09/2012;4060628;NA;9;24;2012
