Lanчamento;Hora;Atual;Projeчуo;Prщvio
22.12.2011;08:00:00;0,052;5,70%;0,058
24.11.2011;08:00:00;0,058;5,90%;0,06
27.10.2011;09:00:00;0,06;5,80%;0,06
22.09.2011;09:00:00;0,06;6,00%;0,06
25.08.2011;09:00:00;0,06;6,20%;0,062
19.07.2011;10:00:00;0,062;6,10%;0,064
22.06.2011;09:00:00;0,064;6,30%;0,064
26.05.2011;09:00:00;0,064;6,40%;0,065
19.04.2011;09:00:00;0,065;6,80%;0,064
24.03.2011;09:00:00;0,064;6,50%;0,061
24.02.2011;09:00:00;0,061;5,80%;0,053
27.01.2011;08:00:00;0,053;5,10%;0,057
17.12.2010;08:05:00;0,057;5,90%;0,061
25.11.2010;08:00:00;0,061;6,10%;0,062
21.10.2010;08:00:00;0,062;6,50%;0,067
01.09.2010 (Ago);06:00:00;0,067;а;0,069
01.08.2010 (Jul);06:00:00;0,069;а;0,07
01.07.2010 (Jun);06:00:00;0,07;а;0,075
01.06.2010 (Mai);06:00:00;0,075;а;0,073
01.05.2010 (Abr);06:00:00;0,073;а;0,076
01.04.2010 (Mar);06:00:00;0,076;а;0,074
01.03.2010 (Fev);06:00:00;0,074;а;0,072
01.02.2010 (Jan);06:00:00;0,072;а;0,068
01.01.2010 (Dez);06:00:00;0,068;а;0,074
01.12.2009 (Nov);06:00:00;0,074;а;0,075
01.11.2009 (Out);06:00:00;0,075;а;0,077
01.10.2009 (Set);06:00:00;0,077;а;0,081
01.09.2009 (Ago);06:00:00;0,081;а;0,08
01.08.2009 (Jul);06:00:00;0,08;а;0,081
01.07.2009 (Jun);06:00:00;0,081;а;0,088
01.06.2009 (Mai);06:00:00;0,088;а;0,089
01.05.2009 (Abr);06:00:00;0,089;а;0,09
01.04.2009 (Mar);06:00:00;0,09;а;0,085
01.03.2009 (Fev);06:00:00;0,085;а;0,082
01.02.2009 (Jan);06:00:00;0,082;а;0,068
01.01.2009 (Dez);06:00:00;0,068;а;0,076
01.12.2008 (Nov);06:00:00;0,076;а;0,075
01.11.2008 (Out);06:00:00;0,075;а;0,077
01.10.2008 (Set);06:00:00;0,077;а;0,076
01.09.2008 (Ago);06:00:00;0,076;а;0,081
01.08.2008 (Jul);06:00:00;0,081;а;0,079
01.07.2008 (Jun);06:00:00;0,079;а;0,079
01.06.2008 (Mai);06:00:00;0,079;а;0,085
01.05.2008 (Abr);06:00:00;0,085;а;0,086
01.04.2008 (Mar);06:00:00;0,086;а;0,087
01.03.2008 (Fev);06:00:00;0,087;а;0,08
01.02.2008 (Jan);06:00:00;0,08;а;0,075
01.01.2008 (Dez);06:00:00;0,075;а;0,083
01.12.2007 (Nov);06:00:00;0,083;а;0,087
01.11.2007 (Out);06:00:00;0,087;а;0,09
01.10.2007 (Set);06:00:00;0,09;а;0,096
01.09.2007 (Ago);06:00:00;0,096;а;0,095
01.08.2007 (Jul);06:00:00;0,095;а;0,097
01.07.2007 (Jun);06:00:00;0,097;а;0,102
01.06.2007 (Mai);06:00:00;0,102;а;0,102
01.05.2007 (Abr);06:00:00;0,102;а;0,102
01.04.2007 (Mar);06:00:00;0,102;а;0,099
01.03.2007 (Fev);06:00:00;0,099;а;0,093
01.02.2007 (Jan);06:00:00;0,093;а;0,084
01.01.2007 (Dez);06:00:00;0,084;а;0,096
01.12.2006 (Nov);06:00:00;0,096;а;0,098
01.11.2006 (Out);06:00:00;0,098;а;0,1
01.10.2006 (Set);06:00:00;0,1;а;0,106
01.09.2006 (Ago);06:00:00;0,106;а;0,108
01.08.2006 (Jul);06:00:00;0,108;а;0,104
01.07.2006 (Jun);06:00:00;0,104;а;0,102
01.06.2006 (Mai);06:00:00;0,102;а;0,104
01.05.2006 (Abr);06:00:00;0,104;а;0,104
01.04.2006 (Mar);06:00:00;0,104;а;0,101
01.03.2006 (Fev);06:00:00;0,101;а;0,093
01.02.2006 (Jan);06:00:00;0,093;а;0,084
01.01.2006 (Dez);06:00:00;0,084;а;0,096
01.12.2005 (Nov);06:00:00;0,096;а;0,096
01.11.2005 (Out);06:00:00;0,096;а;0,097
01.10.2005 (Set);06:00:00;0,097;а;0,094
01.09.2005 (Ago);06:00:00;0,094;а;0,095
01.08.2005 (Jul);06:00:00;0,095;а;0,094
01.07.2005 (Jun);06:00:00;0,094;а;0,102
01.06.2005 (Mai);06:00:00;0,102;а;0,108
01.05.2005 (Abr);06:00:00;0,108;а;0,109
01.04.2005 (Mar);06:00:00;0,109;а;0,107
01.03.2005 (Fev);06:00:00;0,107;а;0,102
